Epoch: 1144, Reward: -21.0, Loss: 0.014657685, Actions: Counter({'[5]': 359, '[3]': 302, '[2]': 212, '[1]': 122, '[4]': 100, '[0]': 49})
Epoch: 1325, Reward: -19.0, Loss: 0.013291373, Actions: Counter({'[4]': 345, '[5]': 337, '[3]': 250, '[1]': 145, '[0]': 132, '[2]': 116})
Epoch: 1214, Reward: -20.0, Loss: 0.014318957, Actions: Counter({'[5]': 453, '[4]': 226, '[0]': 225, '[1]': 147, '[2]': 138, '[3]': 25})
Epoch: 1100, Reward: -21.0, Loss: 0.014183873, Actions: Counter({'[2]': 417, '[5]': 262, '[4]': 208, '[3]': 157, '[1]': 29, '[0]': 27})
Epoch: 1465, Reward: -18.0, Loss: 0.0120638795, Actions: Counter({'[2]': 305, '[3]': 286, '[0]': 247, '[4]': 220, '[5]': 211, '[1]': 196})
Epoch: 1251, Reward: -20.0, Loss: 0.012537018, Actions: Counter({'[0]': 346, '[2]': 315, '[1]': 204, '[5]': 172, '[4]': 139, '[3]': 75})
Epoch: 1143, Reward: -21.0, Loss: 0.013780726, Actions: Counter({'[3]': 295, '[2]': 241, '[5]': 179, '[1]': 176, '[4]': 168, '[0]': 84})
Epoch: 1071, Reward: -21.0, Loss: 0.014577714, Actions: Counter({'[4]': 204, '[0]': 199, '[3]': 196, '[2]': 188, '[1]': 152, '[5]': 132})
Epoch: 1494, Reward: -20.0, Loss: 0.011133276, Actions: Counter({'[1]': 337, '[3]': 288, '[2]': 246, '[4]': 230, '[5]': 210, '[0]': 183})
Epoch: 1231, Reward: -21.0, Loss: 0.010244161, Actions: Counter({'[5]': 372, '[4]': 239, '[1]': 227, '[2]': 147, '[0]': 125, '[3]': 121})
Epoch: 1338, Reward: -21.0, Loss: 0.011865866, Actions: Counter({'[5]': 322, '[4]': 266, '[3]': 222, '[2]': 211, '[0]': 184, '[1]': 133})
Epoch: 1292, Reward: -21.0, Loss: 0.013152357, Actions: Counter({'[5]': 417, '[3]': 279, '[1]': 213, '[2]': 150, '[4]': 150, '[0]': 83})
Epoch: 1210, Reward: -20.0, Loss: 0.016102085, Actions: Counter({'[1]': 304, '[2]': 285, '[5]': 204, '[0]': 197, '[3]': 143, '[4]': 77})
Epoch: 1246, Reward: -21.0, Loss: 0.014596858, Actions: Counter({'[5]': 469, '[3]': 280, '[2]': 157, '[1]': 142, '[0]': 116, '[4]': 82})
Epoch: 1344, Reward: -21.0, Loss: 0.014806791, Actions: Counter({'[5]': 467, '[1]': 283, '[3]': 205, '[2]': 194, '[4]': 98, '[0]': 97})
Epoch: 1176, Reward: -20.0, Loss: 0.01801775, Actions: Counter({'[4]': 273, '[0]': 259, '[5]': 212, '[2]': 199, '[1]': 133, '[3]': 100})
Epoch: 1661, Reward: -19.0, Loss: 0.015895952, Actions: Counter({'[2]': 393, '[3]': 357, '[0]': 271, '[5]': 265, '[1]': 226, '[4]': 149})
Epoch: 1339, Reward: -21.0, Loss: 0.015955491, Actions: Counter({'[2]': 302, '[1]': 300, '[3]': 226, '[5]': 184, '[4]': 174, '[0]': 153})
Epoch: 1182, Reward: -21.0, Loss: 0.013958184, Actions: Counter({'[5]': 306, '[1]': 241, '[2]': 229, '[4]': 202, '[0]': 124, '[3]': 80})
Epoch: 1234, Reward: -20.0, Loss: 0.013459866, Actions: Counter({'[0]': 289, '[5]': 281, '[3]': 193, '[4]': 172, '[1]': 150, '[2]': 149})
Epoch: 1287, Reward: -20.0, Loss: 0.0125716515, Actions: Counter({'[1]': 318, '[3]': 274, '[5]': 219, '[0]': 200, '[2]': 180, '[4]': 96})
Epoch: 1194, Reward: -21.0, Loss: 0.013344673, Actions: Counter({'[2]': 335, '[5]': 206, '[3]': 192, '[1]': 175, '[4]': 155, '[0]': 131})
Epoch: 1122, Reward: -21.0, Loss: 0.015608591, Actions: Counter({'[2]': 270, '[5]': 237, '[0]': 190, '[1]': 159, '[3]': 151, '[4]': 115})
Epoch: 1092, Reward: -21.0, Loss: 0.015982052, Actions: Counter({'[2]': 305, '[0]': 232, '[3]': 194, '[5]': 122, '[4]': 121, '[1]': 118})
Epoch: 1170, Reward: -21.0, Loss: 0.012245672, Actions: Counter({'[2]': 235, '[5]': 222, '[3]': 217, '[0]': 213, '[1]': 159, '[4]': 124})
Epoch: 1038, Reward: -21.0, Loss: 0.011815071, Actions: Counter({'[5]': 248, '[3]': 196, '[2]': 186, '[0]': 182, '[1]': 128, '[4]': 98})
Epoch: 1593, Reward: -19.0, Loss: 0.0128944, Actions: Counter({'[3]': 329, '[5]': 312, '[0]': 306, '[2]': 229, '[4]': 227, '[1]': 190})
Epoch: 1378, Reward: -21.0, Loss: 0.014140118, Actions: Counter({'[3]': 344, '[0]': 295, '[2]': 272, '[5]': 189, '[4]': 145, '[1]': 133})
Epoch: 1427, Reward: -20.0, Loss: 0.015648521, Actions: Counter({'[0]': 324, '[3]': 265, '[1]': 214, '[4]': 214, '[2]': 206, '[5]': 204})
Epoch: 1541, Reward: -18.0, Loss: 0.013794422, Actions: Counter({'[1]': 334, '[5]': 322, '[4]': 301, '[3]': 224, '[0]': 191, '[2]': 169})
Epoch: 1254, Reward: -21.0, Loss: 0.014776023, Actions: Counter({'[4]': 271, '[0]': 246, '[5]': 239, '[2]': 210, '[3]': 160, '[1]': 128})
Epoch: 1244, Reward: -20.0, Loss: 0.018419668, Actions: Counter({'[1]': 289, '[5]': 244, '[0]': 201, '[3]': 199, '[2]': 156, '[4]': 155})
Epoch: 1377, Reward: -18.0, Loss: 0.015871333, Actions: Counter({'[3]': 340, '[5]': 286, '[4]': 261, '[2]': 216, '[0]': 199, '[1]': 75})
Epoch: 1409, Reward: -20.0, Loss: 0.017039582, Actions: Counter({'[3]': 307, '[5]': 285, '[1]': 234, '[0]': 229, '[2]': 188, '[4]': 166})
Epoch: 1400, Reward: -19.0, Loss: 0.0152211655, Actions: Counter({'[2]': 325, '[3]': 270, '[4]': 236, '[5]': 203, '[0]': 184, '[1]': 182})
Epoch: 1216, Reward: -21.0, Loss: 0.013706066, Actions: Counter({'[2]': 306, '[3]': 224, '[5]': 213, '[0]': 195, '[1]': 173, '[4]': 105})
Epoch: 1304, Reward: -20.0, Loss: 0.012708566, Actions: Counter({'[3]': 345, '[2]': 253, '[5]': 245, '[1]': 210, '[0]': 159, '[4]': 92})
Epoch: 1181, Reward: -21.0, Loss: 0.013745931, Actions: Counter({'[3]': 275, '[1]': 240, '[2]': 222, '[5]': 194, '[4]': 147, '[0]': 103})
Epoch: 1331, Reward: -20.0, Loss: 0.011231443, Actions: Counter({'[3]': 356, '[2]': 283, '[5]': 227, '[1]': 194, '[4]': 149, '[0]': 122})
Epoch: 1430, Reward: -19.0, Loss: 0.013144425, Actions: Counter({'[5]': 334, '[2]': 297, '[3]': 257, '[1]': 217, '[4]': 165, '[0]': 160})
Epoch: 1224, Reward: -21.0, Loss: 0.014259854, Actions: Counter({'[5]': 273, '[3]': 257, '[1]': 238, '[2]': 194, '[4]': 184, '[0]': 78})
Epoch: 1448, Reward: -21.0, Loss: 0.016144931, Actions: Counter({'[1]': 348, '[3]': 298, '[5]': 282, '[2]': 233, '[4]': 158, '[0]': 129})
Epoch: 1131, Reward: -21.0, Loss: 0.015908478, Actions: Counter({'[5]': 251, '[2]': 216, '[3]': 195, '[1]': 182, '[0]': 158, '[4]': 129})
Epoch: 1294, Reward: -21.0, Loss: 0.01460965, Actions: Counter({'[1]': 312, '[3]': 292, '[5]': 217, '[2]': 207, '[4]': 134, '[0]': 132})
Epoch: 1728, Reward: -18.0, Loss: 0.013679902, Actions: Counter({'[3]': 479, '[1]': 306, '[2]': 302, '[4]': 243, '[0]': 222, '[5]': 176})
Epoch: 1537, Reward: -21.0, Loss: 0.015316439, Actions: Counter({'[5]': 366, '[3]': 331, '[4]': 251, '[0]': 216, '[2]': 214, '[1]': 159})
Epoch: 1717, Reward: -19.0, Loss: 0.015257206, Actions: Counter({'[3]': 403, '[1]': 356, '[5]': 295, '[4]': 247, '[2]': 217, '[0]': 199})
Epoch: 1748, Reward: -18.0, Loss: 0.016416488, Actions: Counter({'[3]': 404, '[5]': 313, '[2]': 300, '[1]': 286, '[4]': 232, '[0]': 213})
Epoch: 1464, Reward: -20.0, Loss: 0.012872393, Actions: Counter({'[1]': 339, '[5]': 311, '[2]': 239, '[0]': 210, '[3]': 206, '[4]': 159})
Epoch: 1473, Reward: -19.0, Loss: 0.0141920885, Actions: Counter({'[3]': 369, '[2]': 274, '[5]': 273, '[1]': 230, '[0]': 205, '[4]': 122})
Epoch: 1260, Reward: -21.0, Loss: 0.012476043, Actions: Counter({'[5]': 293, '[2]': 253, '[3]': 205, '[0]': 196, '[4]': 182, '[1]': 131})
Epoch: 1321, Reward: -20.0, Loss: 0.012786021, Actions: Counter({'[3]': 331, '[0]': 288, '[2]': 213, '[4]': 180, '[5]': 179, '[1]': 130})
Epoch: 1214, Reward: -21.0, Loss: 0.011651436, Actions: Counter({'[1]': 223, '[5]': 216, '[4]': 214, '[3]': 211, '[0]': 178, '[2]': 172})
Epoch: 1237, Reward: -20.0, Loss: 0.010914041, Actions: Counter({'[5]': 264, '[3]': 256, '[2]': 219, '[4]': 189, '[0]': 186, '[1]': 123})
Epoch: 1527, Reward: -20.0, Loss: 0.012158105, Actions: Counter({'[4]': 316, '[3]': 295, '[5]': 251, '[0]': 249, '[1]': 238, '[2]': 178})
Epoch: 1249, Reward: -19.0, Loss: 0.011755584, Actions: Counter({'[0]': 253, '[4]': 225, '[3]': 219, '[1]': 199, '[5]': 183, '[2]': 170})
Epoch: 1517, Reward: -19.0, Loss: 0.011503333, Actions: Counter({'[5]': 328, '[3]': 292, '[0]': 264, '[1]': 226, '[2]': 211, '[4]': 196})
Epoch: 1639, Reward: -18.0, Loss: 0.012804597, Actions: Counter({'[1]': 362, '[5]': 315, '[3]': 314, '[2]': 283, '[0]': 216, '[4]': 149})
Epoch: 1809, Reward: -21.0, Loss: 0.0131041035, Actions: Counter({'[0]': 398, '[5]': 375, '[3]': 287, '[4]': 271, '[1]': 241, '[2]': 237})
Epoch: 1503, Reward: -20.0, Loss: 0.013767842, Actions: Counter({'[4]': 353, '[5]': 334, '[3]': 277, '[2]': 209, '[0]': 169, '[1]': 161})
Epoch: 1160, Reward: -20.0, Loss: 0.013792278, Actions: Counter({'[0]': 251, '[4]': 225, '[5]': 208, '[1]': 198, '[3]': 181, '[2]': 97})
Epoch: 2190, Reward: -16.0, Loss: 0.012989806, Actions: Counter({'[4]': 521, '[5]': 483, '[3]': 385, '[2]': 323, '[1]': 286, '[0]': 192})
Epoch: 1399, Reward: -21.0, Loss: 0.013241348, Actions: Counter({'[5]': 314, '[3]': 287, '[2]': 256, '[4]': 208, '[1]': 169, '[0]': 165})
Epoch: 1654, Reward: -18.0, Loss: 0.014474606, Actions: Counter({'[2]': 370, '[5]': 344, '[3]': 297, '[1]': 245, '[0]': 203, '[4]': 195})
Epoch: 1737, Reward: -20.0, Loss: 0.013300957, Actions: Counter({'[2]': 408, '[3]': 328, '[4]': 279, '[5]': 271, '[0]': 242, '[1]': 209})
Epoch: 1377, Reward: -18.0, Loss: 0.013992576, Actions: Counter({'[0]': 386, '[2]': 289, '[5]': 207, '[3]': 188, '[4]': 157, '[1]': 150})
Epoch: 1758, Reward: -18.0, Loss: 0.012541173, Actions: Counter({'[5]': 416, '[3]': 355, '[2]': 280, '[0]': 261, '[4]': 232, '[1]': 214})
Epoch: 1399, Reward: -21.0, Loss: 0.011069693, Actions: Counter({'[3]': 279, '[0]': 278, '[2]': 250, '[4]': 236, '[1]': 186, '[5]': 170})
Epoch: 1329, Reward: -21.0, Loss: 0.012273994, Actions: Counter({'[5]': 304, '[2]': 297, '[0]': 215, '[4]': 196, '[3]': 189, '[1]': 128})
Epoch: 1400, Reward: -21.0, Loss: 0.014185514, Actions: Counter({'[0]': 342, '[3]': 266, '[4]': 252, '[5]': 210, '[1]': 171, '[2]': 159})
Epoch: 1759, Reward: -17.0, Loss: 0.015180653, Actions: Counter({'[5]': 390, '[4]': 361, '[2]': 320, '[3]': 264, '[0]': 241, '[1]': 183})
Epoch: 1584, Reward: -18.0, Loss: 0.013846097, Actions: Counter({'[3]': 385, '[1]': 349, '[4]': 298, '[5]': 219, '[2]': 181, '[0]': 152})
Epoch: 1519, Reward: -19.0, Loss: 0.0132642975, Actions: Counter({'[1]': 456, '[3]': 286, '[4]': 264, '[5]': 263, '[2]': 178, '[0]': 72})
Epoch: 1305, Reward: -21.0, Loss: 0.01684197, Actions: Counter({'[5]': 351, '[3]': 251, '[1]': 236, '[4]': 230, '[2]': 125, '[0]': 112})
Epoch: 1638, Reward: -19.0, Loss: 0.017619649, Actions: Counter({'[5]': 476, '[1]': 301, '[2]': 247, '[4]': 220, '[3]': 213, '[0]': 181})
Epoch: 1588, Reward: -20.0, Loss: 0.01681705, Actions: Counter({'[3]': 352, '[5]': 336, '[4]': 261, '[2]': 244, '[0]': 198, '[1]': 197})
Epoch: 1767, Reward: -17.0, Loss: 0.015463314, Actions: Counter({'[5]': 422, '[2]': 323, '[3]': 302, '[1]': 268, '[0]': 239, '[4]': 213})
Epoch: 1756, Reward: -19.0, Loss: 0.0149036525, Actions: Counter({'[5]': 487, '[0]': 309, '[2]': 300, '[1]': 289, '[3]': 235, '[4]': 136})
Epoch: 1659, Reward: -18.0, Loss: 0.013116555, Actions: Counter({'[5]': 421, '[2]': 276, '[3]': 253, '[4]': 246, '[0]': 246, '[1]': 217})
Epoch: 1756, Reward: -20.0, Loss: 0.011902729, Actions: Counter({'[2]': 444, '[5]': 414, '[4]': 296, '[1]': 266, '[0]': 184, '[3]': 152})
Epoch: 1872, Reward: -17.0, Loss: 0.013210713, Actions: Counter({'[2]': 466, '[5]': 352, '[3]': 300, '[0]': 294, '[1]': 247, '[4]': 213})
Epoch: 1880, Reward: -17.0, Loss: 0.011884188, Actions: Counter({'[2]': 400, '[5]': 370, '[4]': 364, '[3]': 253, '[1]': 252, '[0]': 241})
Epoch: 1553, Reward: -20.0, Loss: 0.011964062, Actions: Counter({'[5]': 324, '[1]': 297, '[4]': 297, '[3]': 269, '[2]': 254, '[0]': 112})
Epoch: 1820, Reward: -19.0, Loss: 0.011160037, Actions: Counter({'[4]': 403, '[3]': 336, '[2]': 320, '[1]': 316, '[5]': 286, '[0]': 159})
Epoch: 1455, Reward: -20.0, Loss: 0.013607621, Actions: Counter({'[0]': 347, '[5]': 285, '[2]': 246, '[4]': 225, '[3]': 179, '[1]': 173})
Epoch: 1809, Reward: -18.0, Loss: 0.012695046, Actions: Counter({'[4]': 446, '[3]': 361, '[0]': 305, '[1]': 267, '[2]': 219, '[5]': 211})
Epoch: 2138, Reward: -16.0, Loss: 0.010019824, Actions: Counter({'[5]': 443, '[2]': 367, '[3]': 366, '[0]': 344, '[4]': 328, '[1]': 290})
Epoch: 1721, Reward: -19.0, Loss: 0.010234924, Actions: Counter({'[1]': 366, '[5]': 335, '[0]': 309, '[4]': 267, '[2]': 232, '[3]': 212})
Epoch: 1421, Reward: -20.0, Loss: 0.010013369, Actions: Counter({'[3]': 303, '[4]': 260, '[1]': 253, '[2]': 243, '[0]': 185, '[5]': 177})
Epoch: 1753, Reward: -17.0, Loss: 0.012075688, Actions: Counter({'[4]': 395, '[5]': 315, '[0]': 274, '[3]': 274, '[2]': 262, '[1]': 233})
Epoch: 1636, Reward: -19.0, Loss: 0.012408757, Actions: Counter({'[5]': 321, '[3]': 308, '[4]': 304, '[1]': 241, '[0]': 234, '[2]': 228})
Epoch: 1764, Reward: -19.0, Loss: 0.013005001, Actions: Counter({'[2]': 400, '[4]': 317, '[5]': 305, '[3]': 301, '[1]': 227, '[0]': 214})
