Epoch: 1150, Reward: -3124, Loss: 39.689846, Actions: Counter({'[2]': 460, '[3]': 443, '[0]': 158, '[1]': 86, '[4]': 3})
Epoch: 448, Reward: -1189, Loss: 25.859985, Actions: Counter({'[2]': 136, '[3]': 109, '[0]': 73, '[4]': 71, '[1]': 59})
Epoch: 280, Reward: -481, Loss: 28.925941, Actions: Counter({'[1]': 74, '[0]': 64, '[3]': 52, '[2]': 49, '[4]': 41})
Epoch: 720, Reward: -1812, Loss: 43.960884, Actions: Counter({'[3]': 244, '[2]': 187, '[4]': 109, '[1]': 94, '[0]': 86})
Epoch: 1275, Reward: -3366, Loss: 39.429348, Actions: Counter({'[2]': 341, '[3]': 340, '[1]': 259, '[0]': 254, '[4]': 81})
Epoch: 114, Reward: -135, Loss: 22.66156, Actions: Counter({'[4]': 34, '[0]': 24, '[1]': 22, '[2]': 20, '[3]': 14})
Epoch: 511, Reward: -1252, Loss: 41.29872, Actions: Counter({'[2]': 137, '[3]': 121, '[0]': 95, '[1]': 92, '[4]': 66})
Epoch: 777, Reward: -1546, Loss: 40.725708, Actions: Counter({'[2]': 227, '[3]': 207, '[1]': 173, '[0]': 163, '[4]': 7})
Epoch: 1484, Reward: -3215, Loss: 29.435205, Actions: Counter({'[0]': 467, '[1]': 445, '[2]': 300, '[3]': 263, '[4]': 9})
Epoch: 889, Reward: -2728, Loss: 48.762806, Actions: Counter({'[2]': 262, '[3]': 248, '[1]': 156, '[0]': 136, '[4]': 87})
Epoch: 663, Reward: -1368, Loss: 39.83485, Actions: Counter({'[0]': 194, '[1]': 190, '[3]': 126, '[2]': 119, '[4]': 34})
Epoch: 97, Reward: 89, Loss: 32.400715, Actions: Counter({'[2]': 45, '[3]': 24, '[0]': 18, '[1]': 9, '[4]': 1})
Epoch: 941, Reward: -2060, Loss: 50.30387, Actions: Counter({'[0]': 251, '[2]': 249, '[1]': 220, '[3]': 169, '[4]': 52})
Epoch: 376, Reward: -865, Loss: 46.59377, Actions: Counter({'[2]': 93, '[0]': 78, '[3]': 71, '[1]': 68, '[4]': 66})
Epoch: 486, Reward: -1434, Loss: 35.777233, Actions: Counter({'[4]': 134, '[2]': 112, '[0]': 105, '[3]': 70, '[1]': 65})
Epoch: 301, Reward: -835, Loss: 55.128872, Actions: Counter({'[4]': 105, '[0]': 70, '[1]': 57, '[2]': 45, '[3]': 24})
Epoch: 299, Reward: -401, Loss: 34.021847, Actions: Counter({'[1]': 89, '[0]': 86, '[2]': 60, '[3]': 46, '[4]': 18})
Epoch: 703, Reward: -1948, Loss: 54.140846, Actions: Counter({'[3]': 163, '[0]': 162, '[2]': 155, '[1]': 153, '[4]': 70})
